num_qubits,noise_level,attack_probability,qber,sifted_key_length,eve_qber_contribution,label
269,0.143136,0.989983,0.291971,137,0.196547,1
1571,0.148568,0.296298,0.160759,790,0.061714,0
1344,0.124975,0.911498,0.304412,680,0.221095,1
934,0.066583,0.898766,0.251613,465,0.207225,1
923,0.082111,0.855054,0.264392,469,0.209651,1
1732,0.075496,0.15856,0.097098,896,0.046768,0
263,0.02335,0.65975,0.198582,141,0.183015,1
1425,0.128162,0.379894,0.165517,725,0.080076,1
482,0.101369,0.472815,0.186667,225,0.119088,1
279,0.09569,0.154135,0.109589,146,0.045795,0
1100,0.03305,0.977223,0.280357,560,0.258324,1
1954,0.022974,0.265589,0.057986,983,0.04267,0
1498,0.130954,0.858518,0.256445,737,0.169142,1
1546,0.026912,0.060237,0.03861,777,0.020669,0
1463,0.011058,0.79232,0.182596,701,0.175224,1
1594,0.093841,0.796823,0.26408,799,0.20152,1
1075,0.105651,0.260942,0.116323,533,0.045888,0
343,0.017943,0.567449,0.128049,164,0.116087,1
1696,0.031029,0.297673,0.096154,832,0.075468,0
956,0.118315,0.21062,0.130435,483,0.051558,0
1051,0.139438,0.618235,0.209486,506,0.116528,1
804,0.071473,0.725336,0.203608,388,0.155959,1
447,0.118801,0.712611,0.235294,238,0.156094,1
1861,0.04791,0.838475,0.247863,936,0.215923,1
1585,0.105485,0.715241,0.234395,785,0.164072,1
1323,0.083583,0.382448,0.181951,687,0.126228,1
864,0.126482,0.979201,0.304147,434,0.219826,1
1664,0.116385,0.955836,0.317132,823,0.239542,1
1136,0.04262,0.451927,0.111314,548,0.0829,1
942,0.022418,0.971153,0.278396,449,0.263451,1
956,0.121149,0.983129,0.297189,498,0.216423,1
531,0.004919,0.743543,0.133333,225,0.130054,1
275,0.101856,0.807548,0.232877,146,0.164973,1
1154,0.071387,0.114134,0.070501,539,0.02291,0
1787,0.011295,0.270281,0.070034,871,0.062505,0
221,0.103284,0.122429,0.091743,109,0.022887,0
1731,0.072431,0.153222,0.081633,882,0.033345,0
1673,0.129015,0.777219,0.258255,848,0.172245,1
626,0.031295,0.204703,0.065625,320,0.044762,0
1300,0.000345,0.377991,0.096774,682,0.096544,1
414,0.019573,0.436468,0.129032,217,0.115984,1
1541,0.040442,0.06838,0.053947,760,0.026986,0
1431,0.097837,0.861305,0.265077,713,0.199853,1
773,0.054396,0.845708,0.218362,403,0.182098,1
229,0.017737,0.019154,0.020408,98,0.008583,0
1945,0.147236,0.592177,0.237358,969,0.139201,1
947,0.016234,0.598516,0.170732,492,0.159909,1
1797,0.053268,0.625106,0.195205,876,0.159693,1
1388,0.131491,0.258692,0.148515,707,0.060854,0
1579,0.097892,0.16914,0.099462,744,0.034201,0
1544,0.04797,0.086603,0.04125,800,0.00927,0
470,0.145552,0.721263,0.293103,232,0.196069,1
791,0.075165,0.492341,0.176471,391,0.126361,1
987,0.001216,0.612773,0.150515,485,0.149704,1
1046,0.000925,0.557657,0.138462,520,0.137845,1
183,0.141151,0.657904,0.213483,89,0.119382,1
1139,0.042177,0.705474,0.194192,551,0.166074,1
393,0.12181,0.211644,0.125683,183,0.044477,0
1513,0.006534,0.687972,0.164921,764,0.160565,1
1398,0.022038,0.276027,0.105189,713,0.090498,0
1853,0.128517,0.027694,0.081081,888,0,0
1515,0.149114,0.818906,0.271255,741,0.171846,1
796,0.007788,0.75162,0.153846,390,0.148654,1
1939,0.025146,0.752531,0.198522,947,0.181758,1
881,0.108437,0.375719,0.153318,437,0.081027,1
719,0.079425,0.773559,0.180282,355,0.127331,1
1821,0.060895,0.289904,0.105802,879,0.065205,0
804,0.02917,0.29802,0.087264,424,0.067817,0
245,0.141815,0.365924,0.188034,117,0.093491,1
992,0.02584,0.723531,0.210425,518,0.193198,1
1612,0.039787,0.248294,0.075472,848,0.048947,0
460,0.048645,0.07434,0.035398,226,0.002968,0
980,0.020787,0.259239,0.079399,466,0.065541,0
346,0.080435,0.45922,0.16568,169,0.112057,1
1404,0.051199,0.318901,0.114731,706,0.080598,1
1004,0.091177,0.719723,0.250489,511,0.189704,1
727,0.055179,0.077398,0.069705,373,0.032919,0
531,0.017464,0.655944,0.179104,268,0.167462,1
1173,0.13089,0.313807,0.173267,606,0.086008,1
1373,0.076448,0.18384,0.110106,663,0.05914,0
1887,0.048278,0.233241,0.074866,935,0.042681,0
931,0.002455,0.198559,0.051392,467,0.049755,0
405,0.089677,0.860943,0.311321,212,0.251536,1
1682,0.117376,0.295452,0.141998,831,0.063747,0
1297,0.097509,0.812813,0.25,636,0.184994,1
1431,0.118158,0.290142,0.150993,755,0.072221,0
284,0.023248,0.003749,0.006494,154,0,0
693,0.145755,0.006838,0.097701,348,0.000531,0
1559,0.0317,0.367734,0.111111,765,0.089978,1
1682,0.040017,0.854197,0.248227,846,0.221549,1
927,0.076849,0.591718,0.186788,439,0.135555,1
1629,0.000779,0.679506,0.155779,796,0.155259,1
1700,0.066367,0.414677,0.131051,847,0.086806,1
836,0.029359,0.275314,0.105516,417,0.085943,0
1807,0.112353,0.642937,0.214365,905,0.139463,1
